Date,Open,High,Low,Close,Adj Close,Volume
2022-03-18,0.727996,0.787281,0.726313,0.778770,0.778770,2480269
2022-03-19,0.778770,0.854969,0.778693,0.820971,0.820971,3870873
2022-03-20,0.820972,0.825313,0.756400,0.785880,0.785880,1682240
2022-03-21,0.785880,0.788546,0.763899,0.763899,0.763899,1727692
2022-03-22,0.763899,0.797121,0.720095,0.720095,0.720095,3466662
2022-03-23,0.720095,0.729539,0.698638,0.729539,0.729539,3360778
2022-03-24,0.729539,0.738304,0.708803,0.708803,0.708803,1830656
2022-03-25,0.708803,0.712096,0.677552,0.689441,0.689441,2596811
2022-03-26,0.689441,0.692251,0.674508,0.689881,0.689881,1537763
2022-03-27,0.689881,0.701517,0.656686,0.688404,0.688404,2154962
2022-03-28,0.688404,0.740643,0.676854,0.687490,0.687490,4351282
2022-03-29,0.687490,0.712811,0.686614,0.701111,0.701111,3201301
2022-03-30,0.701111,0.764919,0.688456,0.723279,0.723279,5771744
2022-03-31,0.723279,0.723975,0.656271,0.664523,0.664523,3213445
2022-04-01,0.664523,0.708188,0.653616,0.700508,0.700508,1832071
2022-04-02,0.700508,0.712475,0.662542,0.663435,0.663435,3829294
2022-04-03,0.663435,0.690928,0.656915,0.683931,0.683931,1815830
2022-04-04,0.683931,0.683931,0.665750,0.679571,0.679571,1558697
2022-04-05,0.679571,0.690532,0.672534,0.676296,0.676296,1253888
2022-04-06,0.676296,0.676809,0.618460,0.621337,0.621337,1259961
2022-04-07,0.621338,0.645323,0.615423,0.644741,0.644741,1056899
2022-04-08,0.644741,0.653133,0.617608,0.618617,0.618617,1591762
2022-04-09,0.618617,0.625819,0.612199,0.625819,0.625819,836172
2022-04-10,0.625819,0.646804,0.624196,0.628355,0.628355,967355
2022-04-11,0.628356,0.629240,0.578813,0.579348,0.579348,1335195
2022-04-12,0.579346,0.624293,0.562602,0.582328,0.582328,5697006
2022-04-13,0.582328,0.611748,0.568505,0.608886,0.608886,2248591
2022-04-14,0.608886,0.613080,0.568922,0.585430,0.585430,1759472
2022-04-15,0.585430,0.589393,0.576048,0.579479,0.579479,1116552
2022-04-16,0.579479,0.592454,0.557438,0.575587,0.575587,4015729
2022-04-17,0.575587,0.583476,0.558466,0.558969,0.558969,2559866
2022-04-18,0.558968,0.565858,0.535007,0.565343,0.565343,1622432
2022-04-19,0.565343,0.583783,0.545357,0.582348,0.582348,2066081
2022-04-20,0.582348,0.598972,0.576292,0.592092,0.592092,1494473
2022-04-21,0.592092,0.727318,0.590969,0.651612,0.651612,5725638
2022-04-22,0.651612,0.658127,0.567521,0.583319,0.583319,4641853
2022-04-23,0.583318,0.595436,0.568799,0.574294,0.574294,1990518
2022-04-24,0.574294,0.585820,0.572279,0.578376,0.578376,1199979
2022-04-25,0.578376,0.618988,0.555003,0.609880,0.609880,2584765
2022-04-26,0.609881,0.611554,0.558111,0.562184,0.562184,1197138
2022-04-27,0.562184,0.585854,0.560041,0.569397,0.569397,1453937
2022-04-28,0.569397,0.582897,0.549627,0.565903,0.565903,1976041
2022-04-29,0.565904,0.568727,0.526637,0.547442,0.547442,2851522
2022-04-30,0.547441,0.558581,0.518671,0.527896,0.527896,1423920
2022-05-01,0.527896,0.561894,0.527061,0.561890,0.561890,832793
2022-05-02,0.561890,0.567046,0.548432,0.564174,0.564174,814364
2022-05-03,0.564174,0.567139,0.544511,0.551886,0.551886,980911
2022-05-04,0.551886,0.579012,0.544399,0.574897,0.574897,1570098
2022-05-05,0.574897,0.590902,0.541487,0.550622,0.550622,2278266
